sintomas,especialidad
"Acude por presentar no tengo ganas de hacer nada, solo llorar desde esta mañana.",Psiquiatría
Hay presencia de tengo mal aliento hace una semana.,Odontología
"Doctor, tengo ideación suicida constante.",Psiquiatría
Manifiesta cervicalgia post-latigazo intermitente.,Traumatología
Presenta palpitaciones taquicárdicas y dice que me hinca el corazón.,Cardiología
"Doctor, tengo me duele la barriga un poco que no pasa.",Medicina General
"Nevus displásico, acompañado de micosis cutánea.",Dermatología
"Me salieron ampollas dolorosas, sumado a mojo la cama de sudor en la noche.",Infectología
Hay presencia de me siento decaído y sin fuerzas desde esta mañana.,Medicina General
Me da hipertensión resistente desde hace 3 días.,Nefrología
Tengo algia lumbar mecánica intermitente.,Traumatología
Manifiesta diplopía intermitente.,Oftalmología
Vértigo posicional y además odinofagia intensa.,Otorrinolaringología
"Hemoptisis, también refiere disnea paroxística nocturna.",Neumología
Manifiesta acné nódulo-quístico desde esta mañana.,Dermatología
Acude por presentar la presión no me baja con nada que no pasa.,Nefrología
Acude por presentar diaforesis excesiva constante.,Endocrinología
"Me duele la espalda baja a los lados, acompañado de casi no estoy orinando nada.",Nefrología
"Bruxismo, sumado a halitosis.",Odontología
Migraña con aura y además vértigo periférico.,Neurología
Presento se tomó un veneno desde hace 3 días.,Emergencias
Mojo la cama de sudor en la noche con estoy con calentura y cuerpo cortado.,Infectología
"Epigastralgia urente, acompañado de distensión abdominal.",Gastroenterología
Hay presencia de le dio el ataque y se sacudió constante.,Neurología
Acude por presentar cólico renoureteral intermitente.,Urología
Manifiesta tengo una fiebre que no se me va desde hace 3 días.,Infectología
Tengo masa palpable no dolorosa hace una semana.,Oncología
Cambios en hábito intestinal y siente pérdida de peso caquectizante.,Oncología
Me sale sangre de la nariz y siente no puedo ni tragar del dolor de garganta.,Otorrinolaringología
Estoy aventado y además se me regresa la comida agria.,Gastroenterología
Desde ayer tengo tengo moquera clara desde hace 3 días.,Medicina General
Hay presencia de siento hormigueo en medio cuerpo intermitente.,Neurología
Tos productiva con esputo y siente sibilancias espiratorias.,Neumología
Manifiesta me siento decaído y sin fuerzas hace una semana.,Medicina General
Se queja de tengo un dolor en el riñón que me dobla de inicio súbito.,Urología
Ayúdeme con colitis ulcerosa constante.,Gastroenterología
Acude por presentar amanecí con los ojos hinchados que no pasa.,Nefrología
Hay presencia de ya no hago del baño como antes hace una semana.,Oncología
Paciente refiere que fotofobia desde hace 3 días.,Oftalmología
Ayúdeme con erupción exantemática que no pasa.,Pediatría
Ya no veo bien las letras de lejos y además estoy viendo doble.,Oftalmología
"Me salió un lunar raro, acompañado de tengo la cara llena de granos feos.",Dermatología
Dolor precordial opresivo con edema en miembros inferiores.,Cardiología
Anafilaxia y siente herida cortopunzante profusa.,Emergencias
Presento cambios en hábito intestinal de inicio súbito.,Oncología
"Doctor, tengo todo me da vueltas y me tumba desde hace 3 días.",Neurología
Siento que hematuria macroscópica constante.,Urología
Indica tener acné nódulo-quístico intermitente.,Dermatología
Me da polidipsia y poliuria desde esta mañana.,Endocrinología
Mojo la cama de sudor en la noche y siente me salieron ampollas dolorosas.,Infectología
Desde ayer tengo todo me da vueltas y me tumba de inicio súbito.,Neurología
Lesiones herpéticas y siente síndrome febril agudo.,Infectología
Indica tener se me hinchó la boca y los ojos desde esta mañana.,Alergología
Me da fiebre de origen desconocido de inicio súbito.,Infectología
Indica tener siento como una pata de elefante en el pecho que no pasa.,Cardiología
"Doctor, tengo me palpita feo el corazón constante.",Cardiología
Acude por presentar no puedo mover la rodilla ni un poquito intermitente.,Traumatología
Se me regresa la comida agria y siente estoy amarillo como patito.,Gastroenterología
Desde ayer tengo tengo problemas de potencia sexual hace una semana.,Urología
Me da lesiones herpéticas intermitente.,Infectología
Acude por presentar mastalgia cíclica desde hace 3 días.,Ginecología
Tengo me duele todo el cuerpo hace una semana.,Medicina General
Siento que me duele la espalda baja a los lados constante.,Nefrología
Presento escucho voces que nadie más oye constante.,Psiquiatría
Presento epigastralgia urente de inicio súbito.,Gastroenterología
Me da me mareo si muevo la cabeza de inicio súbito.,Otorrinolaringología
Siento que acné nódulo-quístico hace una semana.,Dermatología
Presento dispepsia funcional que no pasa.,Gastroenterología
Indica tener me duelen los senos antes de la menstruación desde esta mañana.,Ginecología
Tengo ictericia marcada intermitente.,Gastroenterología
Ayúdeme con me duele la espalda baja a los lados constante.,Nefrología
Hay presencia de mastalgia cíclica constante.,Ginecología
Se queja de el guagua está hirviendo en fiebre que no pasa.,Pediatría
Indica tener leucorrea fétida de inicio súbito.,Ginecología
Presento me sangran las encías al cepillarme que no pasa.,Odontología
Tengo miodesopsias desde hace 3 días.,Oftalmología
Paciente refiere que hipertensión arterial descontrolada constante.,Cardiología
Paciente refiere que mastalgia cíclica desde esta mañana.,Ginecología
Acude por presentar amanecí con los ojos hinchados desde hace 3 días.,Nefrología
Alopecia areata y además nevus displásico.,Dermatología
"Disnea paroxística nocturna, acompañado de hemoptisis.",Neumología
Me da vértigo posicional desde hace 3 días.,Otorrinolaringología
Hay presencia de dolor abdominal inespecífico hace una semana.,Medicina General
Tengo dolor en fosa renal intermitente.,Nefrología
Desde ayer tengo hipertensión arterial descontrolada constante.,Cardiología
Acude por presentar hipoacusia súbita constante.,Otorrinolaringología
Síncope vasovagal con hipertensión arterial descontrolada.,Cardiología
Limitación funcional articular y siente edema y equimosis post-traumática.,Traumatología
Indica tener migraña con aura hace una semana.,Neurología
Siento que dermatitis atópica que no pasa.,Dermatología
Me da escucho voces que nadie más oye hace una semana.,Psiquiatría
Manifiesta dispepsia funcional desde esta mañana.,Gastroenterología
"Tengo sarpullido que pica mucho, sumado a me salió un lunar raro.",Dermatología
Me estoy secando de lo flaco con me siento una bola dura que no duele.,Oncología
Prurito vulvar y siente sangrado uterino anormal.,Ginecología
Hipertensión arterial descontrolada y además edema en miembros inferiores.,Cardiología
Se queja de estoy engordando sin comer tanto intermitente.,Endocrinología
"Sangrado uterino anormal, también refiere dismenorrea incapacitante.",Ginecología
Prurito ocular y nasal con dermatitis de contacto.,Alergología
Manifiesta tengo una fiebre que no se me va desde esta mañana.,Infectología
Otalgia derecha con odinofagia intensa.,Otorrinolaringología
"Se quemó con agua hirviendo, acompañado de se está hinchando todo y no respira.",Emergencias
Presento fenómeno de Raynaud que no pasa.,Reumatología
Presento rinorrea hialina desde hace 3 días.,Medicina General
Desde ayer tengo disuria y polaquiuria constante.,Urología
"Tengo tos de perro con flema, acompañado de estoy tosiendo sangre.",Neumología
"La orina sale con mucha espuma, acompañado de me duele la espalda baja a los lados.",Nefrología
"Distensión abdominal, acompañado de epigastralgia urente.",Gastroenterología
Me da tengo la cara llena de granos feos que no pasa.,Dermatología
Hay presencia de leucorrea fétida de inicio súbito.,Ginecología
"Gingivorragia, también refiere odontalgia severa.",Odontología
Se queja de se me está cayendo el pelo por parches de inicio súbito.,Dermatología
Presento me salió alergia por tocar algo que no pasa.,Alergología
Manifiesta me salió alergia por tocar algo constante.,Alergología
Presento proteinuria espumosa constante.,Nefrología
Hay presencia de no puedo mover la rodilla ni un poquito desde hace 3 días.,Traumatología
Ayúdeme con edema angioneurótico de inicio súbito.,Alergología
Ayúdeme con me ahogo cuando estoy durmiendo constante.,Neumología
Presento pirexia no cuantificada desde hace 3 días.,Pediatría
Siento que bruxismo intermitente.,Odontología
"Hipoacusia súbita, sumado a otalgia derecha.",Otorrinolaringología
"Intolerancia a la vía oral, acompañado de pirexia no cuantificada.",Pediatría
Presento se me están enchuecando los dedos constante.,Reumatología
Acude por presentar vértigo posicional desde esta mañana.,Otorrinolaringología
"Se cortó feo y sale mucha sangre, también refiere se tomó un veneno.",Emergencias
Paciente refiere que veo lucecitas antes de que me duela la cabeza intermitente.,Neurología
Acude por presentar odontalgia severa de inicio súbito.,Odontología
Manifiesta reacción a medicamentos intermitente.,Alergología
"Mojo la cama de sudor en la noche, también refiere estoy con calentura y cuerpo cortado.",Infectología
Se queja de me duele la muela horrible desde hace 3 días.,Odontología
Tengo masa palpable no dolorosa intermitente.,Oncología
Manifiesta me duele mucho un testículo desde hace 3 días.,Urología
Manifiesta me chilla el pecho al respirar que no pasa.,Neumología
Ayúdeme con dolor pleurítico intermitente.,Neumología
Siento que crisis convulsiva tónico-clónica intermitente.,Neurología
Ayúdeme con dispepsia funcional desde esta mañana.,Gastroenterología
Me da se está hinchando todo y no respira intermitente.,Emergencias
"Doctor, tengo me duele la muela horrible desde esta mañana.",Odontología
"Limitación funcional articular, acompañado de cervicalgia post-latigazo.",Traumatología
"Irritabilidad y llanto constante, sumado a pirexia no cuantificada.",Pediatría
Tengo estoy orinando sangre constante.,Urología
Acude por presentar limitación funcional articular intermitente.,Traumatología
Siento que deformidad articular de inicio súbito.,Reumatología
Siento que me duele la barriga un poco hace una semana.,Medicina General
Manifiesta cervicalgia post-latigazo de inicio súbito.,Traumatología
Acude por presentar me estoy secando de lo flaco de inicio súbito.,Oncología
No puedo mover la rodilla ni un poquito y siente me duele la cintura bajito.,Traumatología
Acude por presentar dolor pleurítico desde hace 3 días.,Neumología
Me da hemoptisis desde hace 3 días.,Neumología
Presento disminución de la agudeza visual constante.,Oftalmología
"Doctor, tengo halitosis de inicio súbito.",Odontología
Se queja de estoy engordando sin comer tanto desde esta mañana.,Endocrinología
Paciente refiere que odinofagia intensa constante.,Otorrinolaringología
Manifiesta le salieron granitos en todo el cuerpo de inicio súbito.,Pediatría
Manifiesta se me ponen los dedos blancos con el frío desde esta mañana.,Reumatología
Ayúdeme con fiebre de origen desconocido desde esta mañana.,Infectología
Tengo me ahogo cuando estoy durmiendo de inicio súbito.,Neumología
Hay presencia de lesiones herpéticas desde hace 3 días.,Infectología
Manifiesta rinorrea hialina de inicio súbito.,Medicina General
Acude por presentar fiebre de origen desconocido hace una semana.,Infectología
Indica tener limitación funcional articular de inicio súbito.,Traumatología
Ayúdeme con estoy viendo doble de inicio súbito.,Oftalmología
Ayúdeme con cambios en hábito intestinal constante.,Oncología
Me tiemblan las manos con estoy engordando sin comer tanto.,Endocrinología
Ayúdeme con paso con frío todo el tiempo que no pasa.,Endocrinología
Me pica la nariz y los ojos con se me hinchó la boca y los ojos.,Alergología
"Micosis cutánea, sumado a dermatitis atópica.",Dermatología
Ayúdeme con dolor abdominal inespecífico que no pasa.,Medicina General
"Doctor, tengo me duelen todas las uniones constante.",Reumatología
Tengo una fiebre que no se me va con me salieron ampollas dolorosas.,Infectología
Ayúdeme con me quedé sordo de golpe intermitente.,Otorrinolaringología
Tengo el cuello tieso por el frenazo y siente no puedo mover la rodilla ni un poquito.,Traumatología
Se me están enchuecando los dedos y además se me ponen los dedos blancos con el frío.,Reumatología
Siento que se me atranca la comida al pasar que no pasa.,Oncología
Presento disminución de la agudeza visual de inicio súbito.,Oftalmología
Indica tener lesiones herpéticas intermitente.,Infectología
Indica tener micosis cutánea intermitente.,Dermatología
"Amanecí con los ojos hinchados, también refiere casi no estoy orinando nada.",Nefrología
Tengo epistaxis anterior hace una semana.,Otorrinolaringología
